,link,title,prices,location,type,area,dates
0,https://www.99acres.com/3-bhk-bedroom-residential-apartments-for-sale-in-vivaan-elementos-zundal-ahmedabad-north-822-sq-ft-to850-sq-ft-npspid-K56387488,3 BHK Residential Apartment in Zundal,₹ 50.76  - 52.49 Lac,Vivaan Elementos,3 BHK3 Baths,822-850 sq.ft. (76-79 sq.m.) Carpet Area,"Posted on 31st May, 2021 by Builder"
1,https://www.99acres.com/3-bhk-bedroom-residential-apartments-for-sale-in-vinayak-skydeck-raysan-gandhinagar-1400-sq-ft-npspid-H54544034,3 BHK Residential Apartment in Raysan,"₹ 86 Lac₹ 6,142/sq.ft.",Vinayak Skydeck,3 BHK3 Baths,"1,400 sq.ft. (130 sq.m.) Carpet Area","Posted on 01st Feb, 2021 by Builder"
2,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-harekrushna-happy-highland-manipur-ahmedabad-west-551-sq-ft-to563-sq-ft-npspid-F56594160,2 BHK Residential Apartment in Manipur,Price on Request,Harekrushna Happy Highland,2 BHK2 Baths,550-562 sq.ft. (51-52 sq.m.) Carpet Area,"Posted on 14th Jun, 2021 by Builder"
3,https://www.99acres.com/3-bhk-bedroom-residential-apartments-for-sale-in-shyam-heights-nava-vadaj-ahmedabad-west-870-sq-ft-to1001-sq-ft-npspid-B56585822,3 BHK Residential Apartment in Nava Vadaj,₹ 85.68  - 98.28 Lac,Shyam Heights,3 BHK3 Baths,"870-1,001 sq.ft. (81-93 sq.m.) Carpet Area","Posted on 14th Jun, 2021 by Builder"
4,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-arvind-aavishkaar-naroda-ahmedabad-east-832-sq-ft-to1105-sq-ft-npspid-V56614078,2 BHK Residential Apartment in Naroda,₹ 20.26 Lac Onwards,Arvind Aavishkaar,2 BHK2 Baths,"832-1,105 sq.ft. (77-103 sq.m.) Super built-up Area","Posted on 15th Jun, 2021 by Builder"
5,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-anand-elegance-shela-ahmedabad-south-1405-sq-ft-to1495-sq-ft-npspid-H56438180,2 BHK Residential Apartment in Shela,₹ 54.5 Lac Onwards,Anand Elegance,2 BHK,"1,405-1,495 sq.ft. (131-139 sq.m.) Super built-up Area","Posted on 04th Jun, 2021 by Builder"
6,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-hari-om-elegance-godhavi-ahmedabad-west-702-sq-ft-to760-sq-ft-npspid-S56232930,2 BHK Residential Apartment in Godhavi,"₹ 27.35  - 29.35 Lac₹ 3,884/sq.ft.",Hari Om Elegance,2 BHK2 Baths,702-760 sq.ft. (65-71 sq.m.) Carpet Area,"Posted on 14th May, 2021 by Builder"
7,https://www.99acres.com/3-bhk-bedroom-residential-apartments-for-sale-in-vishwanath-samam-shela-ahmedabad-south-1500-sq-ft-npspid-H56329374,3 BHK Residential Apartment in Shela,₹ 54.5 Lac,Vishwanath Samam,3 BHK3 Baths,"1,500 sq.ft. (139 sq.m.) Super built-up Area","Posted on 25th May, 2021 by Builder"
8,https://www.99acres.com/4-bhk-bedroom-residential-apartments-for-sale-in-sahajanand-casa-amplio-thaltej-ahmedabad-west-3464-sq-ft-to3600-sq-ft-npspid-N55103940,4 BHK Residential Apartment in Thaltej,"₹ 2.62  - 2.72 Cr₹ 7,559/sq.ft.",Sahajanand Casa Amplio,4 BHK4 Baths,"3,464-3,600 sq.ft. (322-334 sq.m.) Super built-up Area","Posted on 01st Mar, 2021 by Builder"
9,https://www.99acres.com/3-bhk-bedroom-residential-apartments-for-sale-in-palladian-greens-south-bopal-ahmedabad-west-1440-sq-ft-to1485-sq-ft-npspid-B56449204,3 BHK Residential Apartment in South Bopal,Price on Request,Palladian Greens,3 BHK,"1,440-1,485 sq.ft. (134-138 sq.m.) Super built-up Area","Posted on 05th Jun, 2021 by Builder"
