,areas,bathroom,other,links,header,prices,date,owner,furnished
0,770,2,Available From Ready To Move Floor 4,https://www.commonfloor.com//listing/2-bhk-builderfloor-for-rent-in-lohegaon-pune-at-yashada-splendid-county/aro7ty5zyfevanoy,2 BHK BuilderFloor for rent in Lohegaon,"
 16,500        ",2021-04-14,Santosh singh, 
1,500,2,Available From Ready To Move Floor 1,https://www.commonfloor.com//listing/2bhk-apartment-for-rent-in-kothrud-pune/7xlrjdvzayrlhj42,2BHK Apartment for Rent in Kothrud,"
 20,000        ",2021-04-10,Sunil apte, 
2,1260,3,Available From Ready To Move Floor 19,https://www.commonfloor.com//listing/3bhk-apartment-for-rent-in-hinjewadi-pune-at-pegasus-megapolis-mystic/yrs5vcsoa5c2k7wo,3BHK Apartment for Rent in Hinjewadi,"
 20,000        ",2021-04-22,PROPADIS, 
3,1000,3,Available From Ready To Move Floor 8,https://www.commonfloor.com//listing/semi-furnished-3bhk-apartment-for-rent-in-thergaon-pune-at-shashwati-reflections/c28svhl87r4iegj1,3BHK Apartment for Rent in Thergaon,"
 22,000        ",2021-03-18,Ganesh watkar,Semi Furnished
4,430,1,Available From 15 May'21 Floor 3,https://www.commonfloor.com//listing/semi-furnished-1bhk-apartment-for-rent-in-hinjewadi-pune-at-kolte-patil-life-republic-sector-r3-3rd-avenue/0ay8qj7tbwnrdfet,1BHK Apartment for Rent in Hinjewadi,"
 11,000        ",2021-04-13,Kavita Verma,Semi Furnished
5,856,2,Available From Ready To Move Floor 1,https://www.commonfloor.com//listing/fully-furnished-2bhk-apartment-for-rent-in-wakad-pune-at-parmar-silver-nest/uwdy2ulobjn486l4,2BHK Apartment for Rent in Wakad,"
 20,000        ",2021-04-26,Key 2 Home,Fully Furnished
6,4500,5,Available From Ready To Move,https://www.commonfloor.com//listing/semi-furnished-4bhk-villa-for-rent-in-aundh-pune/c5i68lu09um78oos,4BHK Villa for Rent in Aundh,"
 2.20 L         ",2021-04-29,Mint Properties,Semi Furnished
7,430,1,Available From Ready To Move Floor Ground Floor,https://www.commonfloor.com//listing/1bhk-apartment-for-rent-in-hinjewadi-pune-at-kolte-patil-life-republic-r3/gat17ucsq5wagvry,1BHK Apartment for Rent in Hinjewadi,"
 11,000        ",2021-04-13,Kavita Verma, 
8,496,1,Available From Ready To Move Floor 7,https://www.commonfloor.com//listing/1bhk-apartment-for-rent-in-mundhwa-pune-at-sancheti-eves-garden/zxpwrf7qmwo38ucp,1BHK Apartment for Rent in Mundhwa,"
 14,000        ",2021-04-19,vinod pal, 
9,504,1,Available From Ready To Move Floor 5,https://www.commonfloor.com//listing/semi-furnished-1bhk-apartment-for-rent-in-manjri-pune-at-gemini-grand-bay/nidudribajjwasgh,1BHK Apartment for Rent in Manjri,"
 12,000        ",2021-04-19,Sudarshan Disale,Semi Furnished
10,1003,2,Available From Ready To Move Floor 7,https://www.commonfloor.com//listing/semi-furnished-2bhk-apartment-for-rent-in-kharadi-pune-at-bu-bhandari-acolade/mtgd6tin1t33hukm,2BHK Apartment for Rent in Kharadi,"
 22,000        ",2021-04-19,vinod pal,Semi Furnished
11,760,2,Available From Ready To Move Floor 1,https://www.commonfloor.com//listing/2bhk-apartment-for-rent-in-wakad-pune-at-g-k-armada/iblnx80gidz0a48l,2BHK Apartment for Rent in Wakad,"
 15,000        ",2021-05-07,Key 2 Home, 
12,1000,3,Available From Ready To Move Floor 20,https://www.commonfloor.com//listing/semi-furnished-3bhk-apartment-for-rent-in-hinjewadi-pune-at-kolte-patil-life-republic/4fn0xp5jyp5ug38z,3BHK Apartment for Rent in Hinjewadi,"
 20,000        ",2021-05-05,Kavita Verma,Semi Furnished
13,752,2,Available From Ready To Move Floor 4,https://www.commonfloor.com//listing/2bhk-apartment-for-rent-in-baner-pune-at-akshay-county/5khp4p4zgxywdbsx,2BHK Apartment for Rent in Baner,"
 19,000        ",2021-05-07,Key 2 Home, 
14,450,1,Available From Ready To Move Floor Ground Floor,https://www.commonfloor.com//listing/1-bhk-apartment-for-rent-in-salunke-vihar-pune-at-oxford-blues/q53kcttqm7a7sdaf,1 BHK Apartment for rent in Salunke Vihar,"
 9,000        ",2021-05-02,nitish parmar, 
15,250,1,Available From Ready To Move Floor Ground Floor,https://www.commonfloor.com//listing/1-rk-apartment-for-rent-in-wanwadi-pune-at-raheja-gardens/sps1gmxd2ubmg703,1 RK Apartment for rent in Wanwadi,"
 8,000        ",2021-05-02,nitish parmar, 
16,450,1,Available From Ready To Move Floor Ground Floor,https://www.commonfloor.com//listing/1-bhk-apartment-for-rent-in-lulla-nagar-pune-at-bramhacorp-bramha-memories/ef1tk4lqsqt7pvo8,1 BHK Apartment for rent in Lulla Nagar,"
 10,000        ",2021-05-02,nitish parmar, 
17,520,1,Available From Ready To Move Floor 6,https://www.commonfloor.com//listing/1bhk-apartment-for-rent-in-punawale-pune/ubgnemdt21tcekil,1BHK Apartment for Rent in Punawale,"
 12,000        ",2021-04-15,Key 2 Home, 
18,895,2,Available From Ready To Move Floor 7,https://www.commonfloor.com//listing/semi-furnished-2bhk-apartment-for-rent-in-kharadi-pune-at-mount-n-glory/2ab7ko110wqr84is,2BHK Apartment for Rent in Kharadi,"
 23,000        ",2021-04-19,vinod pal,Semi Furnished
19,943,2,Available From Ready To Move Floor 7,https://www.commonfloor.com//listing/semi-furnished-2bhk-apartment-for-rent-in-kharadi-pune-at-vtp-urban-soul/k7nzfzsrvv9dmgnn,2BHK Apartment for Rent in Kharadi,"
 19,500        ",2021-04-19,vinod pal,Semi Furnished
20,880,2,Available From Ready To Move Floor 7,https://www.commonfloor.com//listing/semi-furnished-2bhk-apartment-for-rent-in-hinjewadi-pune-at-kolte-patil-life-republic-r7/ku2xyakpqv7fz67a,2BHK Apartment for Rent in Hinjewadi,"
 17,000        ",2021-05-05,Kavita Verma,Semi Furnished
21,500,1,Available From 01 Oct'21 Floor 19,https://www.commonfloor.com//listing/semi-furnished-1bhk-apartment-for-rent-in-hinjewadi-pune-at-kolte-patil-life-republic/id7f53mjwazvrsng,1BHK Apartment for Rent in Hinjewadi,"
 11,000        ",2021-05-01,Kavita Verma,Semi Furnished
22,492,1,Available From Ready To Move Floor 20,https://www.commonfloor.com//listing/semi-furnished-1bhk-apartment-for-rent-in-hinjewadi-pune-at-kolte-patil-life-republic/csnfk1d0u58cqzno,1BHK Apartment for Rent in Hinjewadi,"
 11,000        ",2021-04-30,Kavita Verma,Semi Furnished
23,500,1,Available From Ready To Move Floor 3,https://www.commonfloor.com//listing/1bhk-apartment-for-rent-in-hinjewadi-pune-at-kolte-patil-life-republic/8dl31e64k7nt7jyn,1BHK Apartment for Rent in Hinjewadi,"
 11,000        ",2021-05-01,, 
24,720,2,Available From Ready To Move Floor 11,https://www.commonfloor.com//listing/semi-furnished-2bhk-apartment-for-rent-in-hinjewadi-pune-at-kolte-patil-life-republic-r7/fizrbggi7wyo74j4,2BHK Apartment for Rent in Hinjewadi,"
 15,000        ",2021-05-01,Kavita Verma,Semi Furnished
25,720,2,Available From Ready To Move Floor 11,https://www.commonfloor.com//listing/semi-furnished-2bhk-apartment-for-rent-in-hinjewadi-pune-at-kolte-patil-life-republic-r7/4u0jqkhp2qg2f2fo,2BHK Apartment for Rent in Hinjewadi,"
 15,000        ",2021-05-01,Kavita Verma,Semi Furnished
26,720,2,Available From Ready To Move Floor 11,https://www.commonfloor.com//listing/semi-furnished-2bhk-apartment-for-rent-in-hinjewadi-pune-at-kolte-patil-life-republic-r7/clj62x3526thkwle,2BHK Apartment for Rent in Hinjewadi,"
 17,000        ",2021-05-01,archanaenterprises,Semi Furnished
27,800,2,Available From Ready To Move Floor 15,https://www.commonfloor.com//listing/semi-furnished-2bhk-apartment-for-rent-in-hinjewadi-pune-at-kolte-patil-life-republic-sector-r3-3rd-avenue/jachlvipbh0khe2z,2BHK Apartment for Rent in Hinjewadi,"
 16,000        ",2021-04-30,archanaenterprises,Semi Furnished
28,880,2,Available From Ready To Move Floor 13,https://www.commonfloor.com//listing/semi-furnished-2bhk-apartment-for-rent-in-hinjewadi-pune-at-kolte-patil-life-republic/j1vhuqa0b1zoakta,2BHK Apartment for Rent in Hinjewadi,"
 16,000        ",2021-05-05,Kavita Verma,Semi Furnished
29,880,2,Available From Ready To Move Floor 22,https://www.commonfloor.com//listing/semi-furnished-2bhk-apartment-for-rent-in-hinjewadi-pune-at-kolte-patil-life-republic/vubqp5xbxasafapd,2BHK Apartment for Rent in Hinjewadi,"
 17,000        ",2021-05-05,Kavita Verma,Semi Furnished
0,500,2,Available From Ready To Move Floor 1,https://www.commonfloor.com//listing/2bhk-apartment-for-rent-in-kothrud-pune/7xlrjdvzayrlhj42,2BHK Apartment for Rent in Kothrud,"
 20,000        ",2021-04-10,Sunil apte, 
1,504,1,Available From Ready To Move Floor 3,https://www.commonfloor.com//listing/1bhk-apartment-for-rent-in-balewadi-pune-at-vishva-developers-thorve-vishwa/nu0hz5vblr8wqbcl,1BHK Apartment for Rent in Balewadi,"
 15,000        ",2021-05-07,Key 2 Home, 
2,750,2,Available From Ready To Move Floor 3,https://www.commonfloor.com//listing/semi-furnished-2bhk-apartment-for-rent-in-pimple-saudagar-pune-at-kamdhenu-jasmine/bqspvjdx1215eea4,2BHK Apartment for Rent in Pimple Saudagar,"
 17,000        ",2021-04-26,Uttam Khuspe,Semi Furnished
3,550,1,Available From Ready To Move Floor 4,https://www.commonfloor.com//listing/fully-furnished-1bhk-apartment-for-rent-in-kalyani-nagar-pune/4dufdl6rcg9z39my,1BHK Apartment for Rent in Kalyani Nagar,"
 21,000        ",2021-03-15,Amit,Fully Furnished
4,880,2,Available From Ready To Move Floor 19,https://www.commonfloor.com//listing/semi-furnished-2bhk-apartment-for-rent-in-hinjewadi-pune-at-kolte-patil-life-republic/euwwl10hdqd5jup6,2BHK Apartment for Rent in Hinjewadi,"
 17,000        ",2021-05-05,Kavita Verma,Semi Furnished
5,880,2,Available From Ready To Move Floor 22,https://www.commonfloor.com//listing/semi-furnished-2bhk-apartment-for-rent-in-hinjewadi-pune-at-kolte-patil-life-republic/vubqp5xbxasafapd,2BHK Apartment for Rent in Hinjewadi,"
 17,000        ",2021-05-05,Kavita Verma,Semi Furnished
6,880,2,Available From Ready To Move Floor 13,https://www.commonfloor.com//listing/semi-furnished-2bhk-apartment-for-rent-in-hinjewadi-pune-at-kolte-patil-life-republic/j1vhuqa0b1zoakta,2BHK Apartment for Rent in Hinjewadi,"
 16,000        ",2021-05-05,Kavita Verma,Semi Furnished
7,500,1,Available From Ready To Move Floor 4,https://www.commonfloor.com//listing/1bhk-apartment-for-rent-in-manjri-pune-at-gemini-grand-bay/gd6dol7nvv2jf31m,1BHK Apartment for Rent in Manjri,"
 13,000        ",2020-08-23,Vinod sagar, 
8,680,2,Available From Ready To Move Floor 4,https://www.commonfloor.com//listing/2bhk-apartment-for-rent-in-wagholi-pune/kmxxg7wtk6ezzifc,2BHK Apartment for Rent in Wagholi,"
 10,000        ",2021-03-16,Utpal Chatterjee, 
9,980,2,Available From Ready To Move Floor 1,https://www.commonfloor.com//listing/semi-furnished-2bhk-apartment-for-rent-in-hinjewadi-pune-at-megapolis-sparklet/a1g6md6jb0j260n1,2BHK Apartment for Rent in Hinjewadi,"
 18,000        ",2021-03-16,Shashikant Pawar,Semi Furnished
10,920,2,Available From Ready To Move Floor 1,https://www.commonfloor.com//listing/2bhk-apartment-for-rent-in-mohammadwadi-pune-at-dorabjee-paradise-building-ab-condominium/zi6ry4c3ebqtsso5,2BHK Apartment for Rent in Mohammadwadi,"
 20,000        ",2021-03-19,Madhu Patel, 
11,816,2,Available From Ready To Move Floor 3,https://www.commonfloor.com//listing/semi-furnished-2bhk-apartment-for-rent-in-baner-bypass-highway-pune/fg7ahe3kn7t938ml,2BHK Apartment for Rent in Baner Bypass Highway,"
 17,500        ",2021-03-19,diptishanker,Semi Furnished
12,792,2,Available From Ready To Move Floor 6,https://www.commonfloor.com//listing/2bhk-apartment-for-rent-in-rahatani-pune-at-shree-manibhadra-swapna-sankul/dcj4a695f1gza8h8,2BHK Apartment for Rent in Rahatani,"
 13,500        ",2021-03-20,, 
13,746,2,Available From Ready To Move Floor 7,https://www.commonfloor.com//listing/semi-furnished-2bhk-apartment-for-rent-in-ravet-pune-at-rama-celestial-city-phase-ii/detxln6k960uc1kd,2BHK Apartment for Rent in Ravet,"
 17,000        ",2021-03-20,Sanjay,Semi Furnished
14,855,2,Available From Ready To Move Floor 3,https://www.commonfloor.com//listing/2bhk-apartment-for-rent-in-dehu-road-pune/44f68mptac69g746,2BHK Apartment for Rent in Dehu Road,"
 10,000        ",2021-03-21,Balan, 
15,666,2,Available From Ready To Move Floor 4,https://www.commonfloor.com//listing/2bhk-apartment-for-rent-in-wagholi-pune-at-prestine-neo-city-phase-ii/4llw51gj7xt5okq3,2BHK Apartment for Rent in Wagholi,"
 10,000        ",2021-03-21,Jairaj, 
16,770,2,Available From Ready To Move Floor Ground Floor,https://www.commonfloor.com//listing/2-bhk-apartment-for-rent-in-wagholi-pune-at-ivy-estate-umang-premier/hrv60rohketpzzsn,2 BHK Apartment for rent in Wagholi,"
 13,000        ",2021-03-21,Guest, 
17,250,1,Available From Ready To Move,https://www.commonfloor.com//listing/1rk-villa-for-rent-in-lohegaon-pune/xgese5v3dwne9ulq,1RK Villa for Rent in Lohegaon,"
 10,000        ",2021-03-21,Tamijselvy, 
18,980,2,Available From Ready To Move Floor 4,https://www.commonfloor.com//listing/2bhk-apartment-for-rent-in-kharadi-pune-at-vascon-forest-county/ntpvl5emea5a4v2x,2BHK Apartment for Rent in Kharadi,"
 31,000        ",2021-03-14,Rajesh, 
19,840,2,Available From Ready To Move Floor 10,https://www.commonfloor.com//listing/2bhk-apartment-for-rent-in-chakan-pune-at-sara-orchid/c6f0rh75wp94aiml,2BHK Apartment for Rent in Chakan,"
 9,000        ",2021-03-23,Kavita, 
20,780,2,Available From Ready To Move Floor 4,https://www.commonfloor.com//listing/semi-furnished-2bhk-apartment-for-rent-in-dighi-pune/te99669gw9oezr03,2BHK Apartment for Rent in Dighi,"
 12,500        ",2021-03-24,Tapan Kumar Paul,Semi Furnished
21,688,2,Available From Ready To Move Floor 11,https://www.commonfloor.com//listing/2bhk-apartment-for-rent-in-hadapsar-pune-at-arihant-venkateshwara-green-city/zorkrj2xf4dj49w7,2BHK Apartment for Rent in Hadapsar,"
 13,500        ",2021-03-25,Miliend Mahale, 
22,460,1,Available From Ready To Move Floor 8,https://www.commonfloor.com//listing/fully-furnished-1bhk-apartment-for-rent-in-wagholi-pune-at-ivy-estate-umang-premier/4gfk29t6wv1qwi7d,1BHK Apartment for Rent in Wagholi,"
 12,000        ",2021-03-26,varun mehta,Fully Furnished
23,850,2,Available From Ready To Move Floor Ground Floor,https://www.commonfloor.com//listing/2-bhk-apartment-for-rent-in-wagholi-pune-at-supertech-defence-colony-phase-i/c0nhislw0sfeb32f,2 BHK Apartment for rent in Wagholi,"
 11,000        ",2021-03-27,Guest, 
24,825,2,Available From Ready To Move Floor Ground Floor,https://www.commonfloor.com//listing/not-furnished-2-bhk-apartment-for-rent-in-ravet-pune-at-nilay-paradise/rjebf3okddmakuza,2 BHK Apartment for Rent in Ravet,"
 17,000        ",2021-03-27,cnnarayana,Not Furnished
25,1247,3,Available From Ready To Move Floor 11,https://www.commonfloor.com//listing/-3-bhk-apartment-for-rent-in-hinjewadi-pune-at-kumar-megapolis/ob62gjrp2jx46s35, 3 BHK Apartment for Rent in Hinjewadi,"
 16,000        ",2021-03-27,Dipankar, 
26,413,1,Available From Ready To Move Floor Ground Floor,https://www.commonfloor.com//listing/semi-furnished-1-bhk-apartment-for-rent-in-kothrud-pune-at-dhanlaxmi-park/07u67fo4fw629aqq,1 BHK Apartment for Rent in Kothrud,"
 15,000        ",2021-03-27,Saiprasad Shitole,Semi Furnished
27,817,2,Available From Ready To Move Floor 1,https://www.commonfloor.com//listing/-2-bhk-apartment-for-rent-in-wakad-pune-at-anuj-sai-srishti/1yw5ozr90af5hijq, 2 BHK Apartment for Rent in Wakad,"
 18,000        ",2021-03-27,abhishek, 
28,1110,2,Available From Ready To Move Floor Ground Floor,https://www.commonfloor.com//listing/-2-bhk-apartment-for-rent-in-pimpri-chinchwad-pune-at-manas-crest/dzm7bt3ru7jwfgi8, 2 BHK Apartment for Rent in Pimpri Chinchwad,"
 16,000        ",2021-03-27,Alok, 
29,675,2,Available From Ready To Move Floor 1,https://www.commonfloor.com//listing/-2-bhk-apartment-for-rent-in-hadapsar-pune-at-ankita-residency/noyqjjnapdsxbwru, 2 BHK Apartment for Rent in Hadapsar,"
 25,000        ",2021-03-27,Archana Chandanshiv, 
