,link,title,prices,location,type,area,dates
0,https://www.99acres.com/4-bhk-bedroom-residential-apartments-for-rent-in-amar-renaissance-sopan-baug-pune-4180-sq-ft-spid-Q56438096,4 BHK Residential Apartment for rent in Sopan Baug,₹ 1.7 Lac /monthDeposit 6 month(s) rent,Amar Renaissance,4 BHK6 Baths,"4,180 sq.ft. (388 sq.m.) Built-up Area",not give
1,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-rent-in-jai-ganesh-cooperating-housing-society-pimpri-chinchwad-pune-800-sq-ft-spid-X56433592,2 BHK Residential Apartment for rent in Pimpri Chinchwad,"₹ 18,000 /monthDeposit ₹ 30000",jai ganesh cooperating housing society,2 BHK2 Baths,800 sq.ft. (74 sq.m.) Built-up Area,not give
2,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-rent-in-belvalkar-chaitrangan-katraj-pune-640-sq-ft-spid-G56165344,1 BHK Residential Apartment for rent in Katraj,"₹ 10,000 /monthDeposit ₹ 40000",Belvalkar Chaitrangan,1 BHK1 Bath,640 sq.ft. (59 sq.m.) Built-up Area,not give
3,https://www.99acres.com/2-bhk-bedroom-builder-floor-for-rent-in-sai-apartment-lullanagar-lullanagar-pune-1500-sq-ft-spid-Y55406148,2 BHK Independent Builder Floor for rent in Lullanagar,"₹ 16,000 /monthDeposit ₹ 60000","Sai Apartment, lullanagar",2 BHK2 Baths,"1,500 sq.ft. (139 sq.m.) Built-up Area",not give
4,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-rent-in-ashirwad-arrena29-rahatani-pune-411017-940-sq-ft-spid-A56578374,2 BHK Residential Apartment for rent in Shivaraj nagar Rahatani,"₹ 20,000 /monthDeposit 3 month(s) rent","Ashirwad , Arrena29 , Rahatani, Pune 411017",2 BHK2 Baths,940 sq.ft. (87 sq.m.) Super built-up Area,not give
5,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-rent-in-la-cabana-sus-pune-900-sq-ft-spid-W56578314,2 BHK Residential Apartment for rent in Sus,"₹ 15,000 /monthDeposit ₹ 40000",La Cabana,2 BHK2 Baths,900 sq.ft. (84 sq.m.) Carpet Area,not give
6,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-rent-in-maple-aapla-ghar-chakan-pune-520-sq-ft-spid-O56578292,1 BHK Residential Apartment for rent in Chakan,"₹ 6,500 /monthDeposit ₹ 15000",Maple Aapla Ghar,1 BHK1 Bath,520 sq.ft. (48 sq.m.) Carpet Area,not give
7,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-rent-in-shilptula-co-op-housing-soc-aundh-pune-850-sq-ft-spid-T25425231,1 BHK Residential Apartment for rent in Aundh,"₹ 17,000 /monthDeposit ₹ 50000",Shilptula Co-op. Housing Soc.,1 BHK1 Bath,850 sq.ft. (79 sq.m.) Super built-up Area,not give
8,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-rent-in-vighnaharta-chs-erandwane-pune-471-sq-ft-spid-B56578196,1 BHK Residential Apartment for rent in Erandwane,"₹ 13,000 /monthDeposit ₹ 30000",Vighnaharta CHS,1 BHK1 Bath,471 sq.ft. (44 sq.m.) Carpet Area,not give
9,https://www.99acres.com/3-bhk-bedroom-independent-house-for-rent-in-bhujbal-vatushree-pearl-kothrud-pune-2200-sq-ft-spid-A56578186,3 Bedroom Independent House for rent in Kothrud,"₹ 40,000 /monthDeposit 3 month(s) rent",Bhujbal Vatushree Pearl,3 BHK3 Baths,"2,200 sq.ft. (204 sq.m.) Plot Area",not give
