,prices,locations,furnishde,the_own,links,title,area
0,"16,000","Sai Namrata,Dadaji Vasti, Lohegaon,Pune",Fully Furnished,Sai Realty,https://housing.com/rent/6666818-1367-sqft-2-bhk-independent-house-on-rent-in-lohegaon-pune,2 BHK Independent House for rent in Lohegaon,1367 sq.ft
1,"1,00,000","Rohan Madhuban, Bavdhan, Pune",Fully Furnished,Rajesh Paralkar,https://housing.com/rent/5881580-5050-sqft-4-bhk-independent-house-on-rent-in-bavdhan-pune,4 BHK Independent House for rent in Bavdhan,5050 sq.ft
2,"12,000","Raghuveer Nagar,Raghuveer Nagar, Wadgaon Sheri,Pune",Semi Furnished,URBAN HOMES,https://housing.com/rent/6706933-650-sqft-1-bhk-independent-house-on-rent-in-wadgaon-sheri-pune,1 BHK Independent House for rent in Wadgaon Sheri,650 sq.ft
3,"8,000","Dnyanved Residency,Kuthwad Colony, Lohegaon,Pune",Unfurnished,Nileema Gawande,https://housing.com/rent/5509302-650-sqft-1-bhk-independent-house-on-rent-in-lohegaon-pune,1 BHK Independent House for rent in Lohegaon,650 sq.ft
4,"18,500","Chinchwad, Pune",Semi Furnished,Srikant Kulkarni,https://housing.com/rent/6503271-1500-sqft-3-bhk-independent-house-on-rent-in-chinchwad-pune,3 BHK Independent House for rent in Chinchwad,1500 sq.ft
5,"35,000","Lokmanya Colony, Kothrud,Pune",Unfurnished,Deepak Palshikar,https://housing.com/rent/6566586-1200-sqft-2-bhk-independent-house-on-rent-in-kothrud-pune,2 BHK Independent House for rent in Kothrud,1200 sq.ft
6,"25,000","Manjari Budruk, Pune",Fully Furnished,Ronal Nikalje,https://housing.com/rent/6235262-2000-sqft-2-bhk-independent-house-on-rent-in-manjari-budruk-pune,2 BHK Independent House for rent in Manjari Budruk,2000 sq.ft
7,"10,000","Hinjawadi Village, Hinjewadi,Pune",Fully Furnished,Balaji Om Shiv Sai Home's,https://housing.com/rent/6304684-450-sqft-1-bhk-independent-house-on-rent-in-hinjewadi-pune,1 BHK Independent House for rent in Hinjewadi,450 sq.ft
8,"15,000","Baner, Pune",Unfurnished,Omkar Tamhane,https://housing.com/rent/5111879-650-sqft-1-bhk-independent-house-on-rent-in-baner-pune,1 BHK Independent House for rent in Baner,650 sq.ft
9,"6,000","Green Wood, Manjari Budruk, Pune",Unfurnished,Sunil,https://housing.com/rent/6238757-580-sqft-1-bhk-independent-house-on-rent-in-manjari-budruk-pune,1 BHK Independent House for rent in Manjari Budruk,580 sq.ft
10,"9,000","Phulenagar, Yerawada,Pune",Unfurnished,Archana Samadhan Gayake,https://housing.com/rent/6613355-600-sqft-1-bhk-independent-house-on-rent-in-yerawada-pune,1 BHK Independent House for rent in Yerawada,600 sq.ft
