,BHK,PRICE,AREA,link,text,deposite,furnished,locality,Name
0,1 ,"6,750",450 ,https://www.makaan.com/pune/builder-project-in-mundhwa-11795490/1bhk-1t-450-sqft-builderfloor-for-rent,1 BHK Independent Floor,No Deposit,Unfurnished,Mundhwa,seller
1,1 ,"9,000",610 ,https://www.makaan.com/pune/d-b-realty-aadiraj-heights-in-dighi-13866614/1bhk-1t-610-sqft-apartment-for-rent,1 BHK Apartment,No Deposit,Unfurnished,Dighi,seller
2,2 ,"18,500",975 ,https://www.makaan.com/pune/reputed-builder-anukul-residency-in-wakad-13866218/2bhk-2t-975-sqft-apartment-for-rent,2 BHK Apartment,No Deposit,Unfurnished,Wakad,seller
3,2 ,"14,500",940 ,https://www.makaan.com/pune/krisala-developers-41-estera-in-tathawade-13866113/2bhk-2t-940-sqft-independenthouse-for-rent,2 BHK Independent House,No Deposit,Semi-Furnished,Tathawade,seller
4,1 ,"5,500",400 ,https://www.makaan.com/pune/builder-project-in-shivane-13852534/1bhk-1t-400-sqft-builderfloor-for-rent,1 BHK Independent Floor,No Deposit,Unfurnished,Shivane,seller
5,1 ,"5,500",400 ,https://www.makaan.com/pune/builder-project-in-wagholi-13855801/1rk-1t-400-sqft-apartment-for-rent,1 RK Studio Apartment,No Deposit,Semi-Furnished,Wagholi,seller
6,1 ,"3,500",500 ,https://www.makaan.com/pune/builder-project-in-karve-nagar-13850073/1rk-2t-500-sqft-independenthouse-for-rent,1 RK Studio Apartment,No Deposit,Furnished,Karve Nagar,seller
7,3 ,"21,000",1250 ,https://www.makaan.com/pune/sonigara-homes-nilay-in-chinchwad-13843613/3bhk-3t-1250-sqft-apartment-for-rent,3 BHK Apartment,No Deposit,Unfurnished,Chinchwad,seller
8,2 ,"14,000",1000 ,https://www.makaan.com/pune/reputed-builder-popular-nagar-in-warje-13828547/2bhk-2t-1000-sqft-apartment-for-rent,2 BHK Apartment,No Deposit,Unfurnished,Warje,seller
9,1 ,"12,000",600 ,https://www.makaan.com/pune/stone-shelters-bappa-residency-in-hinjewadi-13828620/1bhk-1t-600-sqft-apartment-for-rent,1 BHK Apartment,No Deposit,Unfurnished,Hinjewadi,seller
10,2 ,"10,000",860 ,https://www.makaan.com/pune/viraj-construction-pune-megh-malhar-in-manjari-13813256/2bhk-2t-860-sqft-apartment-for-rent,2 BHK Apartment,No Deposit,Semi-Furnished,Manjari,seller
